Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore,start_time,Total Generation [MW]
0.0,0.0,0.0,0.010033444816053512,0.0,0.0,0.02949646971386102,0.1322463768115942,0.8054162021553326,0.0,0.022807506503158676,2024-03-07 12:00:00,21528.0
0.0,0.0,0.0,0.010414666922633903,0.0,0.0,0.02889230178537147,0.13615857170282203,0.8050009598771357,0.0,0.01953349971203686,2024-03-07 13:00:00,20836.0
0.0,0.0,0.0,0.01004654592377529,0.0,0.0,0.02967878704087746,0.12977556569427162,0.8160744734780404,0.0,0.014424627863035163,2024-03-07 14:00:00,21699.0
0.0,0.0,0.0,0.009884455677920203,0.0,0.0,0.029563098032135766,0.12917494132514895,0.817746885719444,0.0,0.013630619245351146,2024-03-07 15:00:00,22156.0
0.0,0.0,0.0,0.009771986970684038,0.0,0.0,0.029003614296550802,0.1315871670161974,0.8170095042613003,0.0,0.012627727455267503,2024-03-07 16:00:00,22411.0
0.0,0.0,0.0,0.009527953012834458,0.0,0.0,0.035457907330867955,0.1288231455296933,0.8132260169675876,0.0,0.01296497715901675,2024-03-07 17:00:00,22985.0
0.0,0.0,0.0,0.009156255348279994,0.0,0.0,0.036881738832791375,0.12656169775800102,0.8139654287181243,0.0,0.013434879342803354,2024-03-07 18:00:00,23372.0
0.0,0.0,0.0,0.009512279488066412,0.0,0.0,0.038481494292632305,0.12716188170183326,0.8088896575579384,0.0,0.015954686959529573,2024-03-07 19:00:00,23128.0
0.0,0.0,0.0,0.00952919676268384,0.0,0.0,0.037028979201113914,0.12723000609172397,0.8101557740840658,0.0,0.016056043860412497,2024-03-07 20:00:00,22982.0
0.0,0.0,0.0,0.00914830563071769,0.0,0.0,0.03582012627238758,0.12309410299360048,0.8147575484258901,0.0,0.017179916677404115,2024-03-07 21:00:00,23283.0
0.0,0.0,0.0,0.009784120999955119,0.0,0.0,0.03033975135765899,0.12854001166913515,0.8149095642026839,0.0,0.01642655177056685,2024-03-07 22:00:00,22281.0
0.0,0.0,0.0,0.010125650112762922,0.0,0.0,0.029548488056335434,0.1320937082892254,0.810005983338703,0.0,0.01822617020297326,2024-03-07 23:00:00,21727.0
0.0,0.0,0.0,0.010567270281953985,0.0,0.0,0.0327105048273212,0.13646188577741486,0.8001344925308612,0.0,0.020125846582448724,2024-03-08 00:00:00,20819.0
