Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore,start_time,Total Generation [MW]
0.0017977528089887641,0.0,0.0,0.685932584269663,0.15182022471910112,0.0,0.0,0.0,0.0,0.0016179775280898876,0.1588314606741573,2023-03-06 17:00:00,11125.0
0.0017406440382941688,0.0,0.0,0.6896431679721496,0.14865100087032201,0.0,0.0,0.0,0.0,8.703220191470844e-05,0.1598781549173194,2023-03-06 18:00:00,11490.0
0.0016861984655593962,0.0,0.0,0.689908102183627,0.1494814939718405,0.0,0.0,0.0,0.0,0.0,0.15892420537897312,2023-03-06 19:00:00,11861.0
0.0017809439002671415,0.0,0.0,0.6576135351736421,0.14995547640249332,0.0,0.0,0.0,0.0,0.0,0.19065004452359752,2023-03-06 20:00:00,11230.0
0.002107037505267594,0.0,0.0,0.6088284871470713,0.17656974294142436,0.0,0.0,0.0,0.0,0.0,0.21249473240623684,2023-03-06 21:00:00,9492.0
0.002742230347349177,0.0,0.0,0.5395664664403238,0.21663619744058502,0.0,0.0,0.0,0.0,0.0,0.24105510577174197,2023-03-06 22:00:00,7658.0
0.0029006526468455403,0.0,0.0,0.5189267585206672,0.24467005076142131,0.0,0.0,0.0,0.0,0.0,0.233502538071066,2023-03-06 23:00:00,6895.0
0.003136762860727729,0.0,0.0,0.49858845671267255,0.2452948557089084,0.0,0.0,0.0,0.0,0.0,0.2529799247176913,2023-03-07 00:00:00,6376.0
0.0033789491468153403,0.0,0.0,0.476431829700963,0.2623754012502112,0.0,0.0,0.0,0.0,0.0,0.25781381990201047,2023-03-07 01:00:00,5919.0
0.003528818685935137,0.0,0.0,0.47218954797513024,0.26029238783397746,0.0,0.0,0.0,0.0,0.0,0.26398924550495717,2023-03-07 02:00:00,5951.0
0.003727549983056591,0.0,0.0,0.46153846153846156,0.26584208742799054,0.0,0.0,0.0,0.0,0.0,0.2688919010504914,2023-03-07 03:00:00,5902.0
0.0037794193437553684,0.0,0.0,0.4521559869438241,0.26799518982992615,0.0,0.0,0.0,0.0,0.0,0.2760694038824944,2023-03-07 04:00:00,5821.0
0.0037250253979004403,0.0,0.0,0.481544192346766,0.2656620386048087,0.0,0.0,0.0,0.0,0.0,0.2490687436505249,2023-03-07 05:00:00,5906.0
0.0030116162340456045,0.0,0.0,0.5806682919833644,0.22429370428796788,0.0,0.0,0.0,0.0,0.0,0.1920263874946221,2023-03-07 06:00:00,6973.0
0.0022217520101565805,0.0,0.0,0.6868387642826915,0.16885315277190013,0.0,0.0,0.0,0.0,0.00010579771476936098,0.14198053322048243,2023-03-07 07:00:00,9452.0
0.0019162594615310914,0.0,0.0,0.7437002970202166,0.16671457315320495,0.0,0.0,0.0,0.0,0.0012455686499952094,0.08642330171505222,2023-03-07 08:00:00,10437.0
0.002005922246632916,0.0,0.0,0.7628235743624033,0.171076511605693,0.0,0.0,0.0,0.0,0.003725284172318273,0.06036870761295253,2023-03-07 09:00:00,10469.0
0.002037055000485013,0.0,0.0,0.7523523135124648,0.17198564361237753,0.0,0.0,0.0,0.0,0.008536230478222911,0.0650887573964497,2023-03-07 10:00:00,10309.0
0.0021337126600284497,0.0,0.0,0.7684413737045316,0.17496443812233287,0.0,0.0,0.0,0.0,0.007010770168664905,0.047449705344442185,2023-03-07 11:00:00,9842.0
0.002387411828540423,0.0,0.0,0.7400976668475312,0.18827997829625612,0.0,0.0,0.0,0.0,0.019750406945198046,0.049484536082474224,2023-03-07 12:00:00,9215.0
0.002362470469119136,0.0,0.0,0.7463156710541118,0.17471031612104848,0.0,0.0,0.0,0.0,0.01676229047136911,0.059849251884351445,2023-03-07 13:00:00,8889.0
0.002285341168788769,0.0,0.0,0.7542714114702361,0.17520948960713897,0.0,0.0,0.0,0.0,0.013820872782674937,0.054412884971161174,2023-03-07 14:00:00,9189.0
0.0022575790152655345,0.0,0.0,0.7565039776392174,0.16824338851859816,0.0,0.0,0.0,0.0,0.01010535368737906,0.06288970113953989,2023-03-07 15:00:00,9302.0
0.0022051874409324793,0.0,0.0,0.7681402919248136,0.16412895096083166,0.0,0.0,0.0,0.0,0.0076656515803843325,0.05785991809303791,2023-03-07 16:00:00,9523.0
0.0020282016611937416,0.0,0.0,0.783079003283755,0.1664091172493722,0.0,0.0,0.0,0.0,0.002221363724164574,0.04626231408151439,2023-03-07 17:00:00,10354.0
0.002025409685140858,0.0,0.0,0.7582397348554594,0.16037562143251702,0.0,0.0,0.0,0.0,0.0002761922297919352,0.07908304179709078,2023-03-07 18:00:00,10862.0
0.001976284584980237,0.0,0.0,0.777244494635799,0.16600790513833993,0.0,0.0,0.0,0.0,9.410878976096367e-05,0.054677206851119896,2023-03-07 19:00:00,10626.0
0.00199695701787752,0.0,0.0,0.7860403195131228,0.1684100418410042,0.0,0.0,0.0,0.0,9.509319132750095e-05,0.043457588436667936,2023-03-07 20:00:00,10516.0
0.0019899554629015446,0.0,0.0,0.7750402729081778,0.16810385672320668,0.0,0.0,0.0,0.0,9.47597839476926e-05,0.05477115512176632,2023-03-07 21:00:00,10553.0
0.0020422055820285907,0.0,0.0,0.7815812506077993,0.16784984926577848,0.0,0.0,0.0,0.0,9.724788485850433e-05,0.04842944665953516,2023-03-07 22:00:00,10283.0
0.002105263157894737,0.0,0.0,0.7820551378446116,0.1682205513784461,0.0,0.0,0.0,0.0,0.00010025062656641604,0.0475187969924812,2023-03-07 23:00:00,9975.0
0.002068466232288758,0.0,0.0,0.775157720550212,0.17468197331678562,0.0,0.0,0.0,0.0,0.0001034233116144379,0.047988416589099185,2023-03-08 00:00:00,9669.0
0.002175940317065589,0.0,0.0,0.7785721686871827,0.17687286291576002,0.0,0.0,0.0,0.0,0.00010361620557455187,0.042275411874417156,2023-03-08 01:00:00,9651.0
0.0022123893805309734,0.0,0.0,0.7752844500632111,0.18141592920353983,0.0,0.0,0.0,0.0,0.00010535187526337969,0.0409818794774547,2023-03-08 02:00:00,9492.0
0.002178423236514523,0.0,0.0,0.7965767634854771,0.17894190871369295,0.0,0.0,0.0,0.0,0.0001037344398340249,0.02219917012448133,2023-03-08 03:00:00,9640.0
0.002182725288431556,0.0,0.0,0.7935765512940443,0.1862592246128261,0.0,0.0,0.0,0.0,0.00010393929944912172,0.017877559505248934,2023-03-08 04:00:00,9621.0
0.002150537634408602,0.0,0.0,0.7831029185867896,0.20010240655401945,0.0,0.0,0.0,0.0,0.00010240655401945725,0.014541730670762929,2023-03-08 05:00:00,9765.0
0.002156278878734983,0.0,0.0,0.7673272409898347,0.2122394496354862,0.0,0.0,0.0,0.0,0.00010267994660642776,0.018174350549337713,2023-03-08 06:00:00,9739.0
0.0021027335536197055,0.0,0.0,0.7658956643636727,0.21277660959247022,0.0,0.0,0.0,0.0,0.00010013016921998598,0.019124862321017323,2023-03-08 07:00:00,9987.0
