czas_startu,Rzeczywista_Srednia_72h,Prognoza_Srednia_72h,Blad_Sredniej
2025-05-06 10:00:00,0.309600226481305,0.26286858,-0.046731643278942914
2025-05-06 11:00:00,0.3094063430812597,0.26541245,-0.04399389324452874
2025-05-06 12:00:00,0.3091361208034617,0.27324188,-0.03589424324761453
2025-05-06 13:00:00,0.30952215018067186,0.27567795,-0.03384420099053209
2025-05-06 14:00:00,0.3092449099782715,0.27957615,-0.029668757415176383
2025-05-06 15:00:00,0.308995894243314,0.28193298,-0.02706291442115516
2025-05-06 16:00:00,0.30832123033024716,0.27809784,-0.03022339216687131
2025-05-06 17:00:00,0.3076170690601526,0.27910995,-0.02850711422616825
2025-05-06 18:00:00,0.30709638024476055,0.26098597,-0.0461104097476292
2025-05-06 19:00:00,0.30672821404975387,0.26346073,-0.04326748850387069
2025-05-06 20:00:00,0.3064404184057312,0.2565407,-0.049899732513626116
2025-05-06 21:00:00,0.3060492516088706,0.2558,-0.050249242835066876
2025-05-06 22:00:00,0.30548992456525786,0.2532569,-0.05223303736776336
2025-05-06 23:00:00,0.30512630742364644,0.25356779,-0.05155852239900349
2025-05-07 00:00:00,0.304716489156066,0.2619312,-0.04278527839976409
2025-05-07 01:00:00,0.30428518037402924,0.26901507,-0.03527010659778412
2025-05-07 02:00:00,0.30391654916445854,0.27630317,-0.027613377052947308
2025-05-07 03:00:00,0.3036919044752229,0.28113484,-0.022557060648928928
2025-05-07 04:00:00,0.3038486584603388,0.2786335,-0.025215153354366526
2025-05-07 05:00:00,0.3041442851553432,0.2836777,-0.020466587973641537
2025-05-07 06:00:00,0.3044905939847954,0.28374225,-0.02074834497280198
2025-05-07 07:00:00,0.3045849125533728,0.27386722,-0.0307176928668646
2025-05-07 08:00:00,0.3035641633849815,0.2723173,-0.03124687307889018
2025-05-07 09:00:00,0.3019767021803399,0.2713789,-0.03059779759926995
2025-05-07 10:00:00,0.29958407436119133,0.2768644,-0.022719664914475024
2025-05-07 11:00:00,0.2981071348827899,0.2770834,-0.0210237379711688
2025-05-07 12:00:00,0.296870159053786,0.2817668,-0.015103356981260974
2025-05-07 13:00:00,0.2963391447585665,0.28057063,-0.01576851849971639
2025-05-07 14:00:00,0.2957472525617599,0.28049737,-0.015249880411338734
2025-05-07 15:00:00,0.29552537370061,0.27954423,-0.015981139424792123
2025-05-07 16:00:00,0.2949163326336889,0.28385335,-0.011062980563834146
2025-05-07 17:00:00,0.29436903016752913,0.27046144,-0.023907590081164387
2025-05-07 18:00:00,0.2939175208814209,0.26530418,-0.028613342881924464
2025-05-07 19:00:00,0.2939641818559744,0.26957557,-0.02438861580258389
2025-05-07 20:00:00,0.2938004936675383,0.26582658,-0.027973910758907927
2025-05-07 21:00:00,0.2937566734290413,0.26222524,-0.031531432960062444
2025-05-07 22:00:00,0.2938133947120045,0.25834206,-0.03547133724549756
2025-05-07 23:00:00,0.29374719518062886,0.25536203,-0.03838516133663472
2025-05-08 00:00:00,0.2940372647837804,0.24926645,-0.04477081914703113
2025-05-08 01:00:00,0.2944761936190248,0.25544545,-0.03903074307466747
2025-05-08 02:00:00,0.29490328651273257,0.2598804,-0.03502289276921755
2025-05-08 03:00:00,0.2955478323252866,0.25675553,-0.03879230149108859
2025-05-08 04:00:00,0.2960421362366458,0.25111663,-0.04492550282142366
2025-05-08 05:00:00,0.29694991315509456,0.24223743,-0.054712479363933975
2025-05-08 06:00:00,0.29782368500431095,0.25752714,-0.04029654224117313
2025-05-08 07:00:00,0.29950713402807566,0.25181592,-0.04769121892034861
2025-05-08 08:00:00,0.30129195070250187,0.25259522,-0.04869673466665897
2025-05-08 09:00:00,0.3024638488357649,0.25544798,-0.04701586509400463
2025-05-08 10:00:00,0.3030678769120121,0.24990095,-0.053166924930467596
2025-05-08 11:00:00,0.3018317291389181,0.25649816,-0.04533357116086023
2025-05-08 12:00:00,0.3019892316779127,0.2553787,-0.04661053833570383
2025-05-08 13:00:00,0.3020216107725299,0.2634606,-0.0385610044359363
2025-05-08 14:00:00,0.301769951725126,0.27512026,-0.026649693393827167
2025-05-08 15:00:00,0.3014776384400138,0.27384594,-0.02763169761169043
2025-05-08 16:00:00,0.30239421834950964,0.26202387,-0.04037035217290441
2025-05-08 17:00:00,0.30369459671727717,0.25914773,-0.04454686326734125
2025-05-08 18:00:00,0.3051680132770098,0.24918975,-0.055978263916925286
2025-05-08 19:00:00,0.30632730701374855,0.24835917,-0.05796813347744789
2025-05-08 20:00:00,0.30734442202181556,0.24097055,-0.0663738700541947
2025-05-08 21:00:00,0.3081173643503361,0.23267777,-0.07543959170915415
2025-05-08 22:00:00,0.3095467238440559,0.23431894,-0.07522778201246716
2025-05-08 23:00:00,0.3114452744838432,0.23794049,-0.07350478423802409
2025-05-09 00:00:00,0.3133691814749108,0.2381071,-0.07526208134578327
2025-05-09 01:00:00,0.3153329166303662,0.2498659,-0.06546701217994966
2025-05-09 02:00:00,0.3172882461040325,0.25661537,-0.060672875592023834
2025-05-09 03:00:00,0.31961831959744297,0.25974613,-0.05987218531628452
2025-05-09 04:00:00,0.32177471959432913,0.2614571,-0.06031763398489309
2025-05-09 05:00:00,0.3236948412563638,0.25774473,-0.0659501117374734
2025-05-09 06:00:00,0.325450700652867,0.2552201,-0.07023061527040547
2025-05-09 07:00:00,0.3266206851990667,0.25319573,-0.07342495236711172
2025-05-09 08:00:00,0.327721702110662,0.25830254,-0.06941916252364111
2025-05-09 09:00:00,0.3290901057604658,0.2641153,-0.0649748020056593
