"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Norway (NO)","18.09.2024 19:00 - 18.09.2024 20:00 (CET/CEST)","0","n/e","n/e","n/e","169","n/e","n/e","n/e","n/e","n/e","222","","3471","12561","n/e","n/e","0","49","0","31","n/e","816"
"Norway (NO)","18.09.2024 20:00 - 18.09.2024 21:00 (CET/CEST)","0","n/e","n/e","n/e","168","n/e","n/e","n/e","n/e","n/e","204","","3473","12037","n/e","n/e","0","45","0","32","n/e","864"
"Norway (NO)","18.09.2024 21:00 - 18.09.2024 22:00 (CET/CEST)","0","n/e","n/e","n/e","168","n/e","n/e","n/e","n/e","n/e","159","","3454","11630","n/e","n/e","0","41","0","30","n/e","996"
"Norway (NO)","18.09.2024 22:00 - 18.09.2024 23:00 (CET/CEST)","0","n/e","n/e","n/e","171","n/e","n/e","n/e","n/e","n/e","141","","3449","11120","n/e","n/e","0","44","0","35","n/e","1049"
"Norway (NO)","18.09.2024 23:00 - 19.09.2024 00:00 (CET/CEST)","0","n/e","n/e","n/e","174","n/e","n/e","n/e","n/e","n/e","54","","3411","10590","n/e","n/e","0","46","0","32","n/e","1074"
"Norway (NO)","19.09.2024 00:00 - 19.09.2024 01:00 (CET/CEST)","0","n/e","n/e","n/e","176","n/e","n/e","n/e","n/e","n/e","44","","3358","9953","n/e","n/e","0","34","0","32","n/e","1077"
"Norway (NO)","19.09.2024 01:00 - 19.09.2024 02:00 (CET/CEST)","0","n/e","n/e","n/e","181","n/e","n/e","n/e","n/e","n/e","34","","3352","9876","n/e","n/e","0","36","0","36","n/e","1177"
"Norway (NO)","19.09.2024 02:00 - 19.09.2024 03:00 (CET/CEST)","0","n/e","n/e","n/e","178","n/e","n/e","n/e","n/e","n/e","34","","3369","9876","n/e","n/e","0","47","0","37","n/e","1223"
"Norway (NO)","19.09.2024 03:00 - 19.09.2024 04:00 (CET/CEST)","0","n/e","n/e","n/e","175","n/e","n/e","n/e","n/e","n/e","34","","3369","9641","n/e","n/e","0","50","0","33","n/e","1289"
"Norway (NO)","19.09.2024 04:00 - 19.09.2024 05:00 (CET/CEST)","0","n/e","n/e","n/e","172","n/e","n/e","n/e","n/e","n/e","34","","3363","9735","n/e","n/e","0","47","0","35","n/e","1320"
"Norway (NO)","19.09.2024 05:00 - 19.09.2024 06:00 (CET/CEST)","0","n/e","n/e","n/e","171","n/e","n/e","n/e","n/e","n/e","35","","3365","9858","n/e","n/e","0","46","0","38","n/e","1346"
"Norway (NO)","19.09.2024 06:00 - 19.09.2024 07:00 (CET/CEST)","0","n/e","n/e","n/e","173","n/e","n/e","n/e","n/e","n/e","100","","3363","10834","n/e","n/e","0","39","0","41","n/e","1356"
"Norway (NO)","19.09.2024 07:00 - 19.09.2024 08:00 (CET/CEST)","0","n/e","n/e","n/e","170","n/e","n/e","n/e","n/e","n/e","100","","3401","12108","n/e","n/e","0","45","0","37","n/e","1475"
"Norway (NO)","19.09.2024 08:00 - 19.09.2024 09:00 (CET/CEST)","0","n/e","n/e","n/e","172","n/e","n/e","n/e","n/e","n/e","104","","3429","12180","n/e","n/e","0","46","0","37","n/e","1648"
"Norway (NO)","19.09.2024 09:00 - 19.09.2024 10:00 (CET/CEST)","0","n/e","n/e","n/e","179","n/e","n/e","n/e","n/e","n/e","105","","3427","12303","n/e","n/e","0","60","1","37","n/e","1691"
"Norway (NO)","19.09.2024 10:00 - 19.09.2024 11:00 (CET/CEST)","0","n/e","n/e","n/e","182","n/e","n/e","n/e","n/e","n/e","101","","3407","11755","n/e","n/e","0","66","2","34","n/e","1652"
"Norway (NO)","19.09.2024 11:00 - 19.09.2024 12:00 (CET/CEST)","0","n/e","n/e","n/e","171","n/e","n/e","n/e","n/e","n/e","100","","3364","10300","n/e","n/e","0","63","3","34","n/e","1611"
"Norway (NO)","19.09.2024 12:00 - 19.09.2024 13:00 (CET/CEST)","0","n/e","n/e","n/e","167","n/e","n/e","n/e","n/e","n/e","34","","3345","8642","n/e","n/e","0","68","3","30","n/e","1454"
"Norway (NO)","19.09.2024 13:00 - 19.09.2024 14:00 (CET/CEST)","0","n/e","n/e","n/e","169","n/e","n/e","n/e","n/e","n/e","34","","3313","7342","n/e","n/e","0","69","4","25","n/e","1182"
"Norway (NO)","19.09.2024 14:00 - 19.09.2024 15:00 (CET/CEST)","0","n/e","n/e","n/e","170","n/e","n/e","n/e","n/e","n/e","34","","3301","6980","n/e","n/e","0","52","3","31","n/e","1307"
"Norway (NO)","19.09.2024 15:00 - 19.09.2024 16:00 (CET/CEST)","0","n/e","n/e","n/e","178","n/e","n/e","n/e","n/e","n/e","34","","3377","8360","n/e","n/e","0","48","2","36","n/e","1346"
"Norway (NO)","19.09.2024 16:00 - 19.09.2024 17:00 (CET/CEST)","0","n/e","n/e","n/e","180","n/e","n/e","n/e","n/e","n/e","47","","3396","10474","n/e","n/e","0","45","2","30","n/e","1377"
